date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:40	117/117	---M-Z	200	added ('OK')	text/plain	etag:%2241-1638067225;gz%22	https://broadsemis.com/robots.txt		(from )
14:51:40	123640/123640	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Nov%202021%2009:21:00%20GMT	https://broadsemis.com/	HH1/broadsemis.com/index.html	(from )
14:51:41	48325/48325	---M-Z	200	added ('OK')	text/css	etag:%22bcc5-60d3f6ce-b190f258bf329b17;gz%22	https://broadsemis.com/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=3.6.2	HH1/broadsemis.com/wp-content/themes/astra/assets/css/minified/frontend.min822f.css	(from https://broadsemis.com/)
14:51:43	2066/2066	---M-Z	200	added ('OK')	application/rss+xml	etag:%222822a3153663472455a0ac1e447fb34c%22	https://broadsemis.com/index.php/feed/	HH1/broadsemis.com/index.php/feed/index.html	(from https://broadsemis.com/)
14:51:43	3304/3304	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22ce8-60d3f6d2-61f4ab9abc3df01f;;;%22	https://broadsemis.com/wp-content/themes/astra/assets/fonts/astra.woff	HH1/broadsemis.com/wp-content/themes/astra/assets/fonts/astra.woff	(from https://broadsemis.com/)
14:51:44	80574/80574	---M-Z	200	added ('OK')	text/css	etag:%2213abe-61a1f340-6e15ed732a45853b;gz%22	https://broadsemis.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8.2	HH1/broadsemis.com/wp-includes/css/dist/block-library/style.min080f.css	(from https://broadsemis.com/)
14:51:44	10127/10127	---M-Z	200	added ('OK')	text/css	etag:%22278f-60dc1a5c-c88d0504b6c59093;gz%22	https://broadsemis.com/wp-content/plugins/job-manager-career/assets/css/thjmf-public.css?ver=5.8.2	HH1/broadsemis.com/wp-content/plugins/job-manager-career/assets/css/thjmf-public080f.css	(from https://broadsemis.com/)
14:51:45	1634/1634	---M-Z	200	added ('OK')	application/rss+xml	etag:%22172cf770267c5ca0422a72e903b5f9ff%22	https://broadsemis.com/index.php/comments/feed/	HH1/broadsemis.com/index.php/comments/feed/index.html	(from https://broadsemis.com/)
14:51:46	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-61a2c983-d691d9078da728c5;gz%22	https://broadsemis.com/wp-includes/css/dashicons.min.css?ver=5.8.2	HH1/broadsemis.com/wp-includes/css/dashicons.min080f.css	(from https://broadsemis.com/)
14:51:46	711/711	---M-Z	200	added ('OK')	application/rss+xml	etag:%22172cf770267c5ca0422a72e903b5f9ff%22	https://broadsemis.com/index.php/home/feed/	HH1/broadsemis.com/index.php/home/feed/index.html	(from https://broadsemis.com/)
14:51:46	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-60dd81a3-33bb344cea9c0cfa;gz%22	https://broadsemis.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.2	HH1/broadsemis.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor1f22.css	(from https://broadsemis.com/)
14:51:47	17232/17232	---M-Z	200	added ('OK')	text/css	etag:%224350-60d3f254-20abf0593f85bf88;gz%22	https://broadsemis.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.11.0	HH1/broadsemis.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min21f9.css	(from https://broadsemis.com/)
14:51:48	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%224824-60d3f255-ba54c50905ad7700;gz%22	https://broadsemis.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.2.5	HH1/broadsemis.com/wp-content/plugins/elementor/assets/lib/animations/animations.min2072.css	(from https://broadsemis.com/)
14:51:50	117828/117828	---M-Z	200	added ('OK')	text/css	etag:%221cc44-60d3f256-de65338a2f7afac;gz%22	https://broadsemis.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.2.5	HH1/broadsemis.com/wp-content/plugins/elementor/assets/css/frontend.min2072.css	(from https://broadsemis.com/)
14:51:51	1220/1220	---M-Z	200	added ('OK')	text/css	etag:%224c4-60e11565-4b68b22f420618d6;gz%22	https://broadsemis.com/wp-content/uploads/elementor/css/post-1399.css?ver=1625363813	HH1/broadsemis.com/wp-content/uploads/elementor/css/post-1399fff4.css	(from https://broadsemis.com/)
14:51:51	191420/191420	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222ebbc-60d3f254-e6f6e3e73d798c5b;;;%22	https://broadsemis.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.10.0	HH1/broadsemis.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.eot	(from https://broadsemis.com/)
14:51:53	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-60d3f252-8fa83ea7a24f0124;gz%22	https://broadsemis.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.2.5	HH1/broadsemis.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min2072.css	(from https://broadsemis.com/)
14:51:53	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-60d3f252-5d27037ef5374a8b;gz%22	https://broadsemis.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.2.5	HH1/broadsemis.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min2072.css	(from https://broadsemis.com/)
14:51:54	45882/45882	---M-Z	200	added ('OK')	text/css	etag:%22b33a-60e42bef-e84ff273f8973670;gz%22	https://broadsemis.com/wp-content/uploads/elementor/css/post-1463.css?ver=1625566191	HH1/broadsemis.com/wp-content/uploads/elementor/css/post-14635853.css	(from https://broadsemis.com/)
14:51:55	75680/75680	---M-Z	200	added ('OK')	text/css	etag:%22127a0-60dd81a4-74bea14aed9f1943;gz%22	https://broadsemis.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.6.2	HH1/broadsemis.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend1f22.css	(from https://broadsemis.com/)
14:51:56	9661/9661	---M-Z	200	added ('OK')	text/css	etag:%2225bd-60e41f55-8aceaf007cb72dec;gz%22	https://broadsemis.com/wp-content/uploads/elementor/css/post-1877.css?ver=1625562965	HH1/broadsemis.com/wp-content/uploads/elementor/css/post-1877dfdf.css	(from https://broadsemis.com/)
14:51:57	7667/7667	---M-Z	200	added ('OK')	text/css	etag:%221df3-60e5457d-b081bd327880ffa6;gz%22	https://broadsemis.com/wp-content/uploads/elementor/css/post-1883.css?ver=1625638269	HH1/broadsemis.com/wp-content/uploads/elementor/css/post-188380b0.css	(from https://broadsemis.com/)
14:51:58	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%22e238-60d3f253-58f5f8e6b18c28a;gz%22	https://broadsemis.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.1	HH1/broadsemis.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min9e0b.css	(from https://broadsemis.com/)
14:51:59	677/677	---M-Z	200	added ('OK')	text/css	etag:%222a5-60d3f252-ee84b635e5121459;gz%22	https://broadsemis.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.1	HH1/broadsemis.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min9e0b.css	(from https://broadsemis.com/)
14:52:00	669/669	---M-Z	200	added ('OK')	text/css	etag:%2229d-60d3f252-c60ada01bc3cc988;gz%22	https://broadsemis.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.1	HH1/broadsemis.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min9e0b.css	(from https://broadsemis.com/)
14:52:01	675/675	---M-Z	200	added ('OK')	text/css	etag:%222a3-60d3f253-2a2f9396b36aa196;gz%22	https://broadsemis.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.1	HH1/broadsemis.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min9e0b.css	(from https://broadsemis.com/)
14:52:02	89521/89521	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215db1-61a2c984-f46fa35a47fd0b42;gz%22	https://broadsemis.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	HH1/broadsemis.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://broadsemis.com/)
14:52:03	11224/11224	---M-Z	200	added ('OK')	application/x-javascript	etag:%222bd8-61a2c984-9fac72307b85f1a5;gz%22	https://broadsemis.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	HH1/broadsemis.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://broadsemis.com/)
14:52:04	15055/15055	---M-Z	200	added ('OK')	application/x-javascript	etag:%223acf-60d3f252-648e796a59bc32db;gz%22	https://broadsemis.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.2.5	HH1/broadsemis.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min2072.js	(from https://broadsemis.com/)
14:52:06	42921/42921	---MCZ	200	added ('OK')	application/json	etag:%2270-1638264086;gz%22	https://broadsemis.com/index.php/wp-json/wp/v2/pages/1463	HH1/broadsemis.com/index.php/wp-json/wp/v2/pages/1463.json	(from https://broadsemis.com/)
14:52:06	135383/135383	---MCZ	200	added ('OK')	application/json	etag:%2271-1638264087;gz%22	https://broadsemis.com/index.php/wp-json/	HH1/broadsemis.com/index.php/wp-json/index.html	(from https://broadsemis.com/)
14:52:07	808/808	---M-Z	200	added ('OK')	text/xml	date:Tue,%2030%20Nov%202021%2009:21:27%20GMT	https://broadsemis.com/xmlrpc.php?rsd	HH1/broadsemis.com/xmlrpc0db0.php	(from https://broadsemis.com/)
14:52:07	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-61a2c984-8651a5e48361dcc5;gz%22	https://broadsemis.com/wp-includes/wlwmanifest.xml	HH1/broadsemis.com/wp-includes/wlwmanifest.xml	(from https://broadsemis.com/)
14:52:08	2196/2196	---M-Z	200	added ('OK')	application/json	etag:%2272-1638264088;gz%22	https://broadsemis.com/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbroadsemis.com%2F	HH1/broadsemis.com/index.php/wp-json/oembed/1.0/embedd922.json	(from https://broadsemis.com/)
14:52:09	2274/2274	---M-Z	200	added ('OK')	text/xml	etag:%2273-1638264089;gz%22	https://broadsemis.com/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbroadsemis.com%2F&format=xml	HH1/broadsemis.com/index.php/wp-json/oembed/1.0/embed9531	(from https://broadsemis.com/)
14:52:10	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2030%20Nov%202021%2009:21:31%20GMT	https://broadsemis.com/xmlrpc.php	HH1/broadsemis.com/xmlrpc.php	(from https://broadsemis.com/)
14:52:12	189250/189250	---M--	200	added ('OK')	image/png	etag:%222e342-60e16260-c6bd60d67508c479;;;%22	https://broadsemis.com/wp-content/uploads/2021/06/Broadsemifi-removebg.png	HH1/broadsemis.com/wp-content/uploads/2021/06/Broadsemifi-removebg.png	(from https://broadsemis.com/)
14:52:13	104729/104729	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Nov%202021%2009:21:33%20GMT	https://broadsemis.com/index.php/services/	HH1/broadsemis.com/index.php/services/index.html	(from https://broadsemis.com/)
14:52:13	110357/110357	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Nov%202021%2009:21:34%20GMT	https://broadsemis.com/index.php/about/	HH1/broadsemis.com/index.php/about/index.html	(from https://broadsemis.com/)
14:52:14	90881/90881	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Nov%202021%2009:21:34%20GMT	https://broadsemis.com/index.php/corporate-training/	HH1/broadsemis.com/index.php/corporate-training/index.html	(from https://broadsemis.com/)
14:52:14	89279/89279	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Nov%202021%2009:21:34%20GMT	https://broadsemis.com/index.php/service-3/	HH1/broadsemis.com/index.php/service-3/index.html	(from https://broadsemis.com/)
14:52:15	91965/91965	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Nov%202021%2009:21:34%20GMT	https://broadsemis.com/index.php/services-2/	HH1/broadsemis.com/index.php/services-2/index.html	(from https://broadsemis.com/)
14:52:15	791956/791956	---M--	200	added ('OK')	image/png	etag:%22c1594-60d47fb0-ee3992e34c76f1b4;;;%22	https://broadsemis.com/wp-content/uploads/2021/06/%e2%80%94Pngtree%e2%80%94cartoon-technology-light-bulb-circuit_5451062-1.png	HH1/broadsemis.com/wp-content/uploads/2021/06/%e2%80%94Pngtree%e2%80%94cartoon-technology-light-bulb-circuit_5451062-1.png	(from https://broadsemis.com/)
14:52:16	87959/87959	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Nov%202021%2009:21:36%20GMT	https://broadsemis.com/index.php/careers/	HH1/broadsemis.com/index.php/careers/index.html	(from https://broadsemis.com/)
14:52:16	89247/89247	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Nov%202021%2009:21:36%20GMT	https://broadsemis.com/index.php/service-4/	HH1/broadsemis.com/index.php/service-4/index.html	(from https://broadsemis.com/)
14:52:16	93992/93992	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Nov%202021%2009:21:36%20GMT	https://broadsemis.com/index.php/service-1/	HH1/broadsemis.com/index.php/service-1/index.html	(from https://broadsemis.com/)
14:52:17	101788/101788	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Nov%202021%2009:21:37%20GMT	https://broadsemis.com/index.php/contact-2/	HH1/broadsemis.com/index.php/contact-2/index.html	(from https://broadsemis.com/)
14:52:18	740114/740114	---M--	200	added ('OK')	image/png	etag:%22b4b12-60d851c9-be51bb3a8fda5168;;;%22	https://broadsemis.com/wp-content/uploads/2021/06/%e2%80%94Pngtree%e2%80%94holding-circuit-board-in-hand_5609404-min-2.png	HH1/broadsemis.com/wp-content/uploads/2021/06/%e2%80%94Pngtree%e2%80%94holding-circuit-board-in-hand_5609404-min-2.png	(from https://broadsemis.com/)
14:52:19	15356/15356	---M--	200	added ('OK')	image/jpeg	etag:%223bfc-60d3f6bd-dbbc5999fabd8780;;;%22	https://broadsemis.com/wp-content/uploads/2020/06/portfolio1-300x300.jpg	HH1/broadsemis.com/wp-content/uploads/2020/06/portfolio1-300x300.jpg	(from https://broadsemis.com/)
14:52:19	12597/12597	---M--	200	added ('OK')	image/jpeg	etag:%223135-60d3f6bd-e61fc75a81df0a86;;;%22	https://broadsemis.com/wp-content/uploads/2020/06/portfolio2-300x300.jpg	HH1/broadsemis.com/wp-content/uploads/2020/06/portfolio2-300x300.jpg	(from https://broadsemis.com/)
14:52:19	230978/230978	---M--	200	added ('OK')	image/png	etag:%2238642-60dd807b-ee62169ebefece05;;;%22	https://broadsemis.com/wp-content/uploads/2021/07/%e2%80%94Pngtree%e2%80%942.5d-technology-internet-server-mobile-phone_4027942-768x768.png	HH1/broadsemis.com/wp-content/uploads/2021/07/%e2%80%94Pngtree%e2%80%942.5d-technology-internet-server-mobile-phone_4027942-768x768.png	(from https://broadsemis.com/)
14:52:20	17470/17470	---M--	200	added ('OK')	image/jpeg	etag:%22443e-60d3f6be-61fe28ec3a9f5de8;;;%22	https://broadsemis.com/wp-content/uploads/2020/06/portfolio3-300x300.jpg	HH1/broadsemis.com/wp-content/uploads/2020/06/portfolio3-300x300.jpg	(from https://broadsemis.com/)
14:52:21	15740/15740	---M--	200	added ('OK')	image/jpeg	etag:%223d7c-60d3f6be-cb7b3bb347297fda;;;%22	https://broadsemis.com/wp-content/uploads/2020/06/portfolio4-1-300x300.jpg	HH1/broadsemis.com/wp-content/uploads/2020/06/portfolio4-1-300x300.jpg	(from https://broadsemis.com/)
